"dat";"var";"dat_name";"var_name";"default_var";"ver";"res";"access_date";"licence";"citation"
"ETOPO1";"bed";"ETOPO1 Global Relief Model (bedrock)";"Bedrock";FALSE;"c_20110606_tiff";"1";20191217;"CC-BY 3.0";"Amante, C., & Eakins, B. W. (2009). ETOPO1 Global Relief Model converted to PanMap layer format [Data set]. NOAA-National Geophysical Data Center. https://doi.org/10.1594/PANGAEA.769615"
"ETOPO1";"ice";"ETOPO1 Global Relief Model (ice surface)";"Ice surface";TRUE;"c_20110606_tiff";"1";20191217;"CC-BY 3.0";"Amante, C., & Eakins, B. W. (2009). ETOPO1 Global Relief Model converted to PanMap layer format [Data set]. NOAA-National Geophysical Data Center. https://doi.org/10.1594/PANGAEA.769615"
"GPlates";"muma";"GPlates resources";"The Matthews et al. (2016) rotations with the Muller et al. (2016) static polygons";TRUE;"2016_GK07";"none";20180605;"not specified";"Matthews, K. J., Maloney, K. T., Zahirovic, S., Williams, S. E., Seton, M., & Müller, R. D. (2016). Global plate boundary evolution and kinematics since the late Paleozoic. Global and Planetary Change, 146, 226–250. https://doi.org/10.1016/j.gloplacha.2016.10.002 \n Müller, R. D., Seton, M., Zahirovic, S., Williams, S. E., Matthews, K. J., Wright, N. M., Shephard, G. E., Maloney, K. T., Barnett-Moore, N., Hosseinpour, M., Bower, D. J., & Cannon, J. (2016). Ocean Basin Evolution and Global-Scale Plate Reorganization Events Since Pangea Breakup. Annual Review of Earth and Planetary Sciences, 44(1), 107–138. https://doi.org/10.1146/annurev-earth-060115-012211
"
"had-stage";"evapsea";"HadCM3 – stage level simulations";"Seawater evaporation (mm)";FALSE;"20181216";"3";20200615;"Not public!";"UNPUBLISHED!"
"had-stage";"prec";"HadCM3 – stage level simulations";"Precipitation (mm)";FALSE;"20181216";"3";20200615;"Not public!";"UNPUBLISHED!"
"had-stage";"tas";"HadCM3 – stage level simulations";"Near surface air temperature (TAS)";TRUE;"20190723";"1";20190723;"Not public!";"UNPUBLISHED!"
"had-stage";"tos";"HadCM3 – stage level simulations";"Sea Surface Temperature (TOS)";FALSE;"20190725";"3";20190725;"Not public!";"UNPUBLISHED!"
"had-stage";"tos-extra";"HadCM3 – stage level simulations";"Sea Surface Temperature (TOS) extrapolated to match the PALEOMAP PaleoCoastlines.";FALSE;"20200407";"3";20200918;"CC-BY";"UNPUBLISHED!"
"HadISST1";"sst";"Hadley Centre Sea Ice and Sea Surface Temperature data set";"Sea Surface Temperature";TRUE;"20191212";"1";2091212;"not specified";"Rayner, N. A., Parker, D. E., Horton, E. B., Folland, C. K., Alexander, L. V., Rowell, D. P., … Kaplan, A. (2003). Global analyses of sea surface temperature, sea ice, and night marine air temperature since the late nineteenth century. Journal of Geophysical Research: Atmospheres, 108(D14), 4407. https://doi.org/10.1029/2002JD002670
"
"macrostrat";"all";"Macrostrat";"Stratigraphic Database";TRUE;"20200519";"none";20200519;"CC-BY";"Acknowledge Macrostrat as the source of any information or data. A citable paper describing the Macrostrat data model, technical infrastructure, and current data set is forthcoming. In addition, you should also include citations to the original references associated with the data set that was used. These references are accessible from the API. If you would like your paper listed in the official publications, please contact us and we will provide a citation and link!"
"meow";"ecos";"Marine Ecoregions of the World";"Ecoregion shapefiles";TRUE;"20080710";"ecoregions";20200615;"not specified";"Spalding, M. D., Fox, H. E., Allen, G. R., Davidson, N., Ferdaña, Z. A., Finlayson, M., Halpern, B. S., Jorge, M. A., Lombana, A., Lourie, S. A., Martin, K. D., McManus, E., Molnar, J., Recchia, C. A., & Robertson, J. (2007). Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas. BioScience, 57(7), 573–583. https://doi.org/10.1641/B570707 "
